Region,Date,Confirmed Cases,New Confirmed Cases,New Confirmed Cases - 7 Day Avg,New Confirmed Cases - 7 Day Avg Rate,Probable Cases,Total Cases,New Cases,New Cases - 7 Day Avg,New Cases - 7 Day Avg Rate,Recovered_Tot_Old,Recovered_New_Old,Recovered_Tot,Recovered_New,Cases_Past14Days,Hospitalized_Tot,Hospitalized_New,NewHosp_7day,NewHosp_Rate,Deaths_Tot,Deaths_New,NewDeaths_7day,NewDeaths_Rate,Infection Death Rate,Most Recent Date
State,3/6/2020,1,1,,,,,,,,,,,,,,,,,,,,,,
State,3/7/2020,1,0,,,,,,,,,,,,,,,,,,,,,,
State,3/8/2020,2,1,,,,,,,,,,,,,,,,,,,,,,
State,3/9/2020,2,0,,,,,,,,,,,,,,,,,,,,,,
State,3/10/2020,2,0,,,,,,,,,,,,,,,,,,,,,,
State,3/11/2020,2,0,,,,,,,,,,,,,,,,,,,,,,
State,3/12/2020,2,0,0.3,,,,,,,,,,,,,,,,,,,,,
State,3/13/2020,2,0,0.1,,,,,,,,,,,,,,,,,,,,,
State,3/14/2020,4,2,0.4,,,,,,,,,,,,,,,,,,,,,
State,3/15/2020,7,3,0.7,0.1,,,,,,,,,,,,,,,,,,,,
State,3/16/2020,10,3,1.1,0.1,,,,,,,,,,,,,,,,,,,,
State,3/17/2020,14,4,1.7,0.1,,,,,,,,,,,,,,,,,,,,
State,3/18/2020,16,2,2,0.1,,,,,,,,,,,,,,,,,,,,
State,3/19/2020,26,10,3.4,0.2,,,,,,,,,,,,,,,,,,,,
State,3/20/2020,37,11,5,0.4,,,,,,,,,,,,,,,,,,,,
State,3/21/2020,48,11,6.3,0.4,,,,,,,,,,,,,,,,,,,,
State,3/22/2020,56,8,7,0.5,,,,,,,,,,,,,,,,,,,,
State,3/23/2020,77,21,9.6,0.7,,,,,,,,,,,4,1,,,,,,,,
State,3/24/2020,90,13,10.9,0.8,,,,,,,,,,,6,2,,,,,,,,
State,3/25/2020,95,5,11.3,0.8,,,,,,,,,,,6,0,,,,,,,,
State,3/26/2020,106,11,11.4,0.8,,,,,,,,,,,6,0,,,,,,,,
State,3/27/2020,120,14,11.9,0.8,,,,,,36,,36,,,8,2,,,,,,,,
State,3/28/2020,151,31,14.7,1,,,,,,39,3,39,3,,12,4,,,,,,,,
State,3/29/2020,175,24,17,1.2,,,,,,49,10,49,10,,12,0,1.3,,,,,,,
State,3/30/2020,204,29,18.1,1.3,,,,,,55,6,55,6,,12,0,1.1,,,,,,,
State,3/31/2020,224,20,19.1,1.3,,,,,,58,3,57,2,,13,1,1,,1,1,,,,
